제목,날짜,신문사,링크
"류규하 대구 중구청장 ""사람과 마을 잇는 3단계 여성친화도시 도전""",,여성신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=310&aid=0000081232
"성동구 ""타 자치구 확진자, 관내 동호초등학교 방문…269명 검사""",,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010129384
중구 초등 비만예방 프로그램 '건강한 돌봄놀이터' 운영,2020.10.05,부산일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001033404
부산 중구 전국 지방자치단체 일자리대상 우수사업부문 우수상 수상 外,2020.10.05,국제신문,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20201005.99002184945
초등 돌봄교실 운영이 지자체 몫이어야 하는 까닭,2020.09.27,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002286232
"서울 중구 직영 '초등 돌봄교실'…학부모 ""만족도 99%""",2020.05.26,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011633830
서울시·교육청 '촘촘한 초등돌봄' 힘 모은다,2020.06.26,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004674051
오후 8시까지 초등생 봐주는 ‘중구돌봄’ 만족도 99%,2면1단  2020,문화일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002429519
서양호 중구청장 취임 2주년 첫날부터 현장 행정,2020.07.01,헤럴드경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001693631
중구 초등돌봄교사 '특별휴가',2020.04.27,내일신문,http://www.naeil.com/news_view/?id_art=347902
야간 초등돌봄 덕에 보육1번지 됐죠,2020.09.03,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004648663
"서울중부소방서, 초등돌봄시설 소방안전교육",2020.08.31,FPN,http://fpn119.co.kr/142381
"[인터뷰]서양호 중구청장 ""권한·예산까지 주민과 나눠야 한다""",2020.06.29,노컷뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003377182
초등 돌봄교실이 더 이상 ‘학교’ 소관이 아니라면?,2020.09.23,시사IN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=308&aid=0000027554
초등학교 '교육'과 '돌봄' 두 마리 토끼 잡기 안간힘,2020.05.25,대전일보,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1424023
중구 “코로나19 긴급돌봄 이상무”,2020.03.10,헤럴드경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001646185
"서울 중구, '초등생 돌봄' 동네키움센터 2·3호 개소",2020.01.08,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011321226
"서울 중구 ""백병원 확진자 발생에 총력대응…지역감염 차단""",2020.03.09,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011458666
서울 중구 학교밖 초등돌봄 본격화…'모든아이 신당센터' 개설,2019.11.25,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011234296
“안심하고 아이 맡기세요”… 중구 긴급돌봄 만족 높아,2면1단  2020,문화일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002420360
사회적거리두기 2단계에 초등학교 등교·수업 현장 여전히 '혼란',2020.09.01,중도일보,http://www.joongdo.co.kr/web/view.php?key=20200901010000344
"신한금융 77번째 초등 돌봄공간 열어, 조용병 ""올해 100호점 목표""",2020.09.10,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=195627
